Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount,Date
2 YR,3.26575,0,3.26575,3.25397,0.936576,01/09/2023
3 YR,3.04,0,3.04,3.02745,0.912649,01/09/2023
4 YR,2.91455,0,2.91455,2.90116,0.890009,01/09/2023
5 YR,2.83728,0,2.83728,2.82321,0.867947,01/09/2023
6 YR,2.806,0,2.806,2.79245,0.845349,01/09/2023
7 YR,2.78705,0,2.78705,2.77406,0.823131,01/09/2023
8 YR,2.78715,0,2.78715,2.77573,0.800503,01/09/2023
9 YR,2.7943,0,2.7943,2.78479,0.777835,01/09/2023
10 YR,2.81155,0,2.81155,2.80496,0.755003,01/09/2023
12 YR,2.85385,0,2.85385,2.85409,0.709611,01/09/2023
15 YR,2.89805,0,2.89805,2.90595,0.646224,01/09/2023
20 YR,2.7882,0,2.7882,2.7682,0.574374,01/09/2023
25 YR,2.659,0,2.659,2.60468,0.520952,01/09/2023
30 YR,2.55015,0,2.55015,2.46681,0.476706,01/09/2023
1 MO,3.7269,0,3.7269,3.77261,0.996595,01/10/2023
2 MO,3.734,0,3.734,3.7737,0.993405,01/10/2023
3 MO,3.7541,0,3.7541,3.78777,0.990293,01/10/2023
6 MO,3.791,0,3.791,3.80671,0.980891,01/10/2023
9 MO,3.79,0,3.79,3.78815,0.971762,01/10/2023
1 YR,3.7576,0,3.7576,3.739,0.963004,01/10/2023
18 MO,3.5841,0,3.5841,3.57947,0.947492,01/10/2023
2 YR,3.4395,0,3.4395,3.42328,0.933563,01/10/2023
3 YR,3.23385,0,3.23385,3.21697,0.907602,01/10/2023
4 YR,3.11905,0,3.11905,3.10151,0.883026,01/10/2023
5 YR,3.0597,0,3.0597,3.04209,0.858612,01/10/2023
6 YR,3.048,0,3.048,3.03187,0.833397,01/10/2023
7 YR,3.04015,0,3.04015,3.0251,0.808893,01/10/2023
8 YR,3.047,0,3.047,3.03392,0.784235,01/10/2023
9 YR,3.05975,0,3.05975,3.04902,0.759638,01/10/2023
10 YR,3.08505,0,3.08505,3.07825,0.734734,01/10/2023
12 YR,3.133,0,3.133,3.13392,0.686259,01/10/2023
15 YR,3.179,0,3.179,3.18783,0.619535,01/10/2023
20 YR,3.083,0,3.083,3.06294,0.541538,01/10/2023
25 YR,2.98,0,2.98,2.92761,0.480569,01/10/2023
30 YR,2.887,0,2.887,2.8037,0.4309,01/10/2023
1 MO,3.729,0,3.729,3.77473,0.996593,01/11/2023
2 MO,3.749,0,3.749,3.78859,0.993482,01/11/2023
3 MO,3.76,0,3.76,3.79324,0.990073,01/11/2023
6 MO,3.7488,0,3.7488,3.7654,0.981197,01/11/2023
9 MO,3.677,0,3.677,3.6772,0.972381,01/11/2023
1 YR,3.58365,0,3.58365,3.56974,0.964555,01/11/2023
18 MO,3.34585,0,3.34585,3.34442,0.950766,01/11/2023
2 YR,3.17125,0,3.17125,3.15975,0.938517,01/11/2023
3 YR,2.958,0,2.958,2.94606,0.91519,01/11/2023
4 YR,2.8738,0,2.8738,2.86203,0.891619,01/11/2023
5 YR,2.856,0,2.856,2.84552,0.867111,01/11/2023
6 YR,2.8647,0,2.8647,2.85617,0.842114,01/11/2023
7 YR,2.8888,0,2.8888,2.88303,0.816926,01/11/2023
8 YR,2.922,0,2.922,2.91974,0.791442,01/11/2023
9 YR,2.95715,0,2.95715,2.95875,0.765909,01/11/2023
10 YR,3.0031,0,3.0031,3.0103,0.73975,01/11/2023
12 YR,3.0819,0,3.0819,3.09968,0.688971,01/11/2023
15 YR,3.15195,0,3.15195,3.17969,0.620347,01/11/2023
20 YR,3.111,0,3.111,3.11911,0.535571,01/11/2023
25 YR,3.019,0,3.019,2.991,0.473082,01/11/2023
30 YR,2.933,0,2.933,2.87079,0.422307,01/11/2023
1 MO,3.719,0,3.719,3.76463,0.996397,01/12/2023
2 MO,3.744,0,3.744,3.78265,0.993183,01/12/2023
3 MO,3.7449,0,3.7449,3.77845,0.990214,01/12/2023
6 MO,3.63565,0,3.63565,3.6547,0.981352,01/12/2023
9 MO,3.48935,0,3.48935,3.4954,0.973636,01/12/2023
1 YR,3.33565,0,3.33565,3.33064,0.966801,01/12/2023
18 MO,3.034,0,3.034,3.03957,0.954993,01/12/2023
2 YR,2.8433,0,2.8433,2.84004,0.944415,01/12/2023
3 YR,2.631,0,2.631,2.62672,0.923758,01/12/2023
4 YR,2.53325,0,2.53325,2.5284,0.903435,01/12/2023
5 YR,2.506,0,2.506,2.50174,0.882057,01/12/2023
6 YR,2.503,0,2.503,2.49981,0.860364,01/12/2023
7 YR,2.532,0,2.532,2.53154,0.837257,01/12/2023
8 YR,2.558,0,2.558,2.56001,0.814467,01/12/2023
9 YR,2.586,0,2.586,2.59073,0.791573,01/12/2023
10 YR,2.619,0,2.619,2.62725,0.768566,01/12/2023
12 YR,2.693,0,2.693,2.71025,0.721986,01/12/2023
15 YR,2.77235,0,2.77235,2.80056,0.656538,01/12/2023
20 YR,2.724,0,2.724,2.73373,0.578354,01/12/2023
25 YR,2.642,0,2.642,2.62443,0.518383,01/12/2023
30 YR,2.575,0,2.575,2.5351,0.46703,01/12/2023
1 MO,3.7216,0,3.7216,3.76687,0.996394,01/01/2024
2 MO,3.721,0,3.721,3.76103,0.993529,01/01/2024
3 MO,3.68835,0,3.68835,3.72321,0.990558,01/01/2024
6 MO,3.5183,0,3.5183,3.53832,0.982321,01/01/2024
9 MO,3.3084,0,3.3084,3.3161,0.975237,01/01/2024
1 YR,3.104,0,3.104,3.10211,0.969208,01/01/2024
18 MO,2.74105,0,2.74105,2.74763,0.959515,01/01/2024
2 YR,2.49405,0,2.49405,2.49301,0.951038,01/01/2024
3 YR,2.2585,0,2.2585,2.25678,0.934307,01/01/2024
4 YR,2.1606,0,2.1606,2.15876,0.91711,01/01/2024
5 YR,2.12605,0,2.12605,2.12478,0.899,01/01/2024
6 YR,2.1275,0,2.1275,2.1276,0.879951,01/01/2024
7 YR,2.1408,0,2.1408,2.14256,0.860524,01/01/2024
8 YR,2.1655,0,2.1655,2.16953,0.840365,01/01/2024
9 YR,2.19385,0,2.19385,2.20049,0.820086,01/01/2024
10 YR,2.2286,0,2.2286,2.2386,0.799182,01/01/2024
12 YR,2.293,0,2.293,2.30983,0.757679,01/01/2024
15 YR,2.359,0,2.359,2.38357,0.699123,01/01/2024
20 YR,2.316,0,2.316,2.3271,0.627551,01/01/2024
25 YR,2.234,0,2.234,2.22284,0.573316,01/01/2024
30 YR,2.162,0,2.162,2.13143,0.527224,01/01/2024
1 MO,3.71213,0,3.71213,3.75807,0.996608,01/02/2024
2 MO,3.7062,0,3.7062,3.74686,0.993452,01/02/2024
3 MO,3.6658,0,3.6658,3.70206,0.990411,01/02/2024
6 MO,3.513,0,3.513,3.53543,0.982145,01/02/2024
9 MO,3.3067,0,3.3067,3.31756,0.975049,01/02/2024
1 YR,3.1208,0,3.1208,3.12194,0.968848,01/02/2024
18 MO,2.7746,0,2.7746,2.7844,0.958838,01/02/2024
2 YR,2.5639,0,2.5639,2.56564,0.949648,01/02/2024
3 YR,2.341,0,2.341,2.34133,0.931871,01/02/2024
4 YR,2.24,0,2.24,2.23949,0.913923,01/02/2024
5 YR,2.1968,0,2.1968,2.19622,0.89568,01/02/2024
6 YR,2.208,0,2.208,2.209,0.87555,01/02/2024
7 YR,2.2146,0,2.2146,2.21668,0.85596,01/02/2024
8 YR,2.2369,0,2.2369,2.24101,0.835563,01/02/2024
9 YR,2.2645,0,2.2645,2.2711,0.814681,01/02/2024
10 YR,2.2963,0,2.2963,2.30598,0.793657,01/02/2024
12 YR,2.353,0,2.353,2.36869,0.752242,01/02/2024
15 YR,2.42985,0,2.42985,2.45531,0.691447,01/02/2024
20 YR,2.456,0,2.456,2.48159,0.608395,01/02/2024
25 YR,2.382,0,2.382,2.3822,0.550863,01/02/2024
30 YR,2.308,0,2.308,2.28361,0.50367,01/02/2024
1 MO,3.70245,0,3.70245,3.7479,0.996413,01/03/2024
2 MO,3.7042,0,3.7042,3.74397,0.993253,01/03/2024
3 MO,3.698,0,3.698,3.73224,0.99013,01/03/2024
6 MO,3.6004,0,3.6004,3.62,0.981527,01/03/2024
9 MO,3.47325,0,3.47325,3.47949,0.973754,01/03/2024
1 YR,3.34165,0,3.34165,3.33644,0.966832,01/03/2024
18 MO,3.066,0,3.066,3.07117,0.954536,01/03/2024
2 YR,2.88875,0,2.88875,2.88502,0.943634,01/03/2024
3 YR,2.66785,0,2.66785,2.66301,0.922948,01/03/2024
4 YR,2.548,0,2.548,2.54211,0.902937,01/03/2024
5 YR,2.481,0,2.481,2.47458,0.88332,01/03/2024
6 YR,2.4565,0,2.4565,2.45057,0.862975,01/03/2024
7 YR,2.436,0,2.436,2.43022,0.843287,01/03/2024
8 YR,2.44,0,2.44,2.4357,0.822624,01/03/2024
9 YR,2.446,0,2.446,2.44311,0.802186,01/03/2024
10 YR,2.46,0,2.46,2.45922,0.781614,01/03/2024
12 YR,2.496,0,2.496,2.50032,0.740435,01/03/2024
15 YR,2.5589,0,2.5589,2.57301,0.679373,01/03/2024
20 YR,2.508,0,2.508,2.50856,0.605036,01/03/2024
25 YR,2.404,0,2.404,2.37675,0.551651,01/03/2024
30 YR,2.313,0,2.313,2.26147,0.507061,01/03/2024
1 MO,3.69698,0,3.69698,3.74257,0.996724,01/04/2024
2 MO,3.6872,0,3.6872,3.72728,0.993587,01/04/2024
3 MO,3.643,0,3.643,3.67811,0.990672,01/04/2024
6 MO,3.5185,0,3.5185,3.53808,0.982227,01/04/2024
9 MO,3.387,0,3.387,3.39291,0.97458,01/04/2024
1 YR,3.263,0,3.263,3.25743,0.967778,01/04/2024
2 YR,2.8405,0,2.8405,2.83557,0.944426,01/04/2024
3 YR,2.597,0,2.597,2.591,0.924952,01/04/2024
4 YR,2.482,0,2.482,2.47549,0.905541,01/04/2024
5 YR,2.387,0,2.387,2.3793,0.887665,01/04/2024
6 YR,2.3611,0,2.3611,2.35424,0.868101,01/04/2024
7 YR,2.34,0,2.34,2.33356,0.849132,01/04/2024
8 YR,2.33575,0,2.33575,2.33039,0.829597,01/04/2024
9 YR,2.3435,0,2.3435,2.33993,0.809843,01/04/2024
10 YR,2.355,0,2.355,2.35341,0.790098,01/04/2024
12 YR,2.378,0,2.378,2.3801,0.751309,01/04/2024
15 YR,2.42175,0,2.42175,2.43086,0.694177,01/04/2024
20 YR,2.392,0,2.392,2.39396,0.619207,01/04/2024
25 YR,2.307,0,2.307,2.28724,0.56415,01/04/2024
30 YR,2.234,0,2.234,2.19532,0.517298,01/04/2024
